word,count
nw,11968
ena,4708
new,4479
awo,4249
eshi,3978
eko,3280
https,2869
и,2512
ende,2501
в,2493
bro,2444
1,2436
ene,2403
ye,2226
lay,2193
your,2120
i,2113
2,1957
demo,1786
t,1755
